Method Data,,,,,,
Method name,Panopea,,,,,
0.4295,55,36.3,15.3,0.0075,,
0.438,56,37,15.3,0.007,,
0.4465,57,37.7,15.3,0.007,,
0.454,58,38.1,15.3,0.007,,
0.4625,59,38.5,15.3,0.0075,,
0.4705,60,38.9,15.3,0.0075,,
0.479,61,39.4,15.3,0.0075,,
0.4875,62,40,15.3,0.0075,,
0.496,63,40.9,15.3,0.007,,
0.5035,64,41.2,15.3,0.007,,
0.512,65,41.6,15.3,0.0075,,
0.5205,66,42.1,15.3,0.0075,,
0.529,67,42.5,15.3,0.0075,,
0.5375,68,43.2,15.3,0.007,,
0.5455,69,44.7,15.4,0.0065,,
0.5535,70,45,15.4,0.0075,,
0.5615,71,45.4,15.4,0.0075,,
0.57,72,46.2,15.4,0.0075,,
0.5785,73,47,15.4,0.0075,,
0.587,74,48,15.4,0.007,,
0.5955,75,48.9,15.4,0.007,,
0.603,76,49.2,15.4,0.007,,
0.6115,77,49.8,15.4,0.0075,,
0.62,78,50.4,15.4,0.0075,,
0.628,79,50.8,15.4,0.0075,,
0.6365,80,51.3,15.4,0.007,,
0.645,81,51.7,15.4,0.007,,
0.6525,82,52.2,15.4,0.007,,
0.661,83,53,15.4,0.0075,,
0.6695,84,53.4,15.4,0.0075,,
0.678,85,54,15.4,0.0075,,
0.6865,86,54.7,15.4,0.007,,
0.695,87,55.1,15.4,0.0075,,
0.7025,88,56.4,15.4,0.007,,
0.711,89,57.7,15.4,0.0075,,
0.719,90,58,15.4,0.0075,,
0.7275,91,58.3,15.4,0.0075,,
0.736,92,58.7,15.4,0.007,,
0.7435,93,58.9,15.4,0.007,,
0.752,94,59.5,15.4,0.0075,,
0.7605,95,60.4,15.4,0.0075,,
0.769,96,61,15.4,0.0075,,
0.7775,97,61.8,15.4,0.007,,
0.786,98,62.9,15.4,0.007,,
0.7935,99,63.8,15.4,0.007,,
0.802,100,64.4,15.4,0.0075,,
0.81,101,65.2,15.5,0.0075,,
0.8185,102,66.1,15.5,0.0075,,
0.827,103,66.6,15.5,0.007,,
0.8355,104,67.5,15.5,0.0075,,
0.843,105,67.7,15.5,0.007,,
0.8515,106,68.5,15.5,0.0075,,
0.86,107,69,15.5,0.0075,,
0.8685,108,69.9,15.5,0.0075,,
0.877,109,70.5,15.5,0.007,,
0.885,110,71.5,15.5,0.0065,,
0.8925,111,72,15.5,0.007,,
0.901,112,72.6,15.5,0.0075,,
0.9095,113,73.2,15.5,0.0075,,
0.918,114,73.9,15.5,0.0075,,
0.9265,115,74.7,15.5,0.007,,
0.935,116,75.6,15.5,0.0075,,
0.9425,117,76.2,15.5,0.007,,
0.951,118,77.2,15.5,0.0075,,
0.9595,119,78.4,15.5,0.0075,,
0.9675,120,79.1,15.5,0.0075,,
0.976,121,80.2,15.5,0.007,,
0.9845,122,81.8,15.5,0.0075,,
0.992,123,83.4,15.5,0.007,,
1.0005,124,84.2,15.5,0.0075,,
1.009,125,84.7,15.5,0.0075,,
1.0175,126,85.4,15.5,0.0075,,
1.026,127,86.2,15.5,0.007,,
1.0345,128,87.8,15.5,0.0075,,
1.042,129,89,15.5,0.007,,
1.05,130,90.3,15.5,0.0075,,
1.0585,131,91.8,15.5,0.0075,,
1.067,132,92.8,15.5,0.0075,,
1.0755,133,94.1,15.5,0.007,,
1.084,134,95.4,15.5,0.007,,
1.0915,135,97.3,15.6,0.007,,
1.1,136,98.6,15.6,0.0075,,
1.1085,137,100.2,15.6,0.0075,,
1.117,138,101.3,15.6,0.0075,,
1.125,139,103.3,15.6,0.0065,,
1.133,140,104.6,15.6,0.0075,,
1.141,141,106.3,15.6,0.0075,,
1.1495,142,108.6,15.6,0.0075,,
1.158,143,110.9,15.6,0.0075,,
1.1665,144,113.1,15.6,0.0075,,
1.175,145,115.6,15.6,0.007,,
1.1835,146,118,15.6,0.0075,,
1.191,147,120.5,15.6,0.007,,
1.1995,148,123.2,15.6,0.0075,,
1.2075,149,126.5,15.6,0.0075,,
1.216,150,129.9,15.6,0.0075,,
1.2245,151,132.6,15.6,0.007,,
1.232,152,135.4,15.6,0.007,,
1.2405,153,139,15.6,0.0075,,
1.249,154,142.7,15.6,0.0075,,
1.2575,155,146.1,15.6,0.0075,,
1.266,156,149.1,15.6,0.007,,
1.274,157,152.2,15.6,0.0065,,
1.282,158,155.2,15.6,0.0075,,
1.29,159,158.1,15.6,0.0075,,
1.2985,160,160.9,15.6,0.0075,,
1.307,161,163.6,15.6,0.0075,,
1.3155,162,165.9,15.6,0.007,,
1.324,163,168.2,15.6,0.007,,
1.3315,164,170.1,15.6,0.007,,
1.34,165,172.1,15.6,0.0075,,
1.3485,166,174.3,15.6,0.0075,,
1.3565,167,176.2,15.6,0.0075,,
1.365,168,178.1,15.6,0.0075,,
1.3735,169,179.9,15.6,0.007,,
1.381,170,181.4,15.6,0.007,,
1.3895,171,183.1,15.7,0.0075,,
1.398,172,184.5,15.7,0.0075,,
1.4035,173,185,15.7,0.007,,
1.4035,413,195,16.1,0,,
1.404,414,195.1,16.1,0.0005,,
1.4055,415,195,16.1,0.0015,,
1.408,416,195.2,16.1,0.003,,
1.412,417,195.3,16.1,0.0045,,
1.418,418,195.7,16.1,0.006,,
1.4265,419,196.2,16.1,0.0085,,
1.435,420,197.2,16.1,0.0085,,
1.4425,421,197.8,16.1,0.0085,,
1.451,422,198.7,16.1,0.0095,,
1.4595,423,199.5,16.1,0.0095,,
1.468,424,200.5,16.1,0.0085,,
1.4765,425,201.1,16.1,0.0085,,
1.4845,426,201.9,16.1,0.008,,
1.4925,427,202.7,16.1,0.009,,
1.5005,428,203.3,16.1,0.009,,
1.509,429,204.1,16.1,0.0095,,
1.5175,430,204.8,16.1,0.0085,,
1.526,431,205.5,16.1,0.0085,,
1.5345,432,206.2,16.1,0.0095,,
1.542,433,206.9,16.1,0.0085,,
1.5505,434,207.5,16.1,0.0095,,
1.559,435,208.2,16.1,0.0095,,
1.567,436,208.8,16.1,0.008,,
1.5755,437,209.3,16.1,0.0085,,
1.584,438,209.9,16.1,0.0095,,
1.5915,439,210.5,16.2,0.0085,,
1.6,440,211,16.2,0.0095,,
1.6085,441,211.6,16.2,0.0085,,
1.617,442,212.1,16.2,0.0085,,
1.6255,443,212.8,16.2,0.0085,,
1.6335,444,213.2,16.2,0.008,,
1.6415,445,213.7,16.2,0.009,,
1.6495,446,214.3,16.2,0.009,,
1.658,447,214.7,16.2,0.0085,,
1.6665,448,215.1,16.2,0.0085,,
1.675,449,215.6,16.2,0.0085,,
1.6835,450,216,16.2,0.0095,,
1.691,451,216.5,16.2,0.0085,,
1.6995,452,216.9,16.2,0.0095,,
1.708,453,217.4,16.2,0.0085,,
1.7165,454,217.8,16.2,0.0085,,
1.7245,455,218.3,16.2,0.008,,
1.733,456,218.7,16.2,0.0095,,
1.7405,457,219.1,16.2,0.0085,,
1.749,458,219.5,16.2,0.0095,,
1.7575,459,220,16.2,0.0085,,
1.766,460,220.3,16.2,0.0085,,
1.7745,461,220.7,16.2,0.0085,,
1.782,462,221.1,16.2,0.0085,,
1.7905,463,221.5,16.2,0.0095,,
1.799,464,221.8,16.2,0.0095,,
1.8075,465,222.1,16.2,0.0085,,
1.8155,466,222.6,16.2,0.008,,
1.824,467,222.9,16.2,0.0085,,
1.8315,468,223.2,16.2,0.0085,,
1.84,469,223.6,16.2,0.0095,,
1.8485,470,223.8,16.2,0.0095,,
1.857,471,224.3,16.2,0.0085,,
1.8655,472,224.6,16.2,0.0085,,
1.874,473,224.9,16.2,0.0085,,
1.8815,474,225.2,16.2,0.0085,,
1.89,475,225.5,16.2,0.0095,,
1.898,476,225.8,16.2,0.009,,
1.9065,477,226.2,16.2,0.0085,,
1.915,478,226.4,16.2,0.0085,,
1.9235,479,226.8,16.2,0.0085,,
1.931,480,227.1,16.2,0.0085,,
1.9395,481,227.3,16.2,0.0095,,
1.948,482,227.6,16.2,0.0095,,
1.9565,483,227.9,16.2,0.0085,,
1.9645,484,228.2,16.2,0.008,,
1.973,485,228.5,16.3,0.0085,,
1.9805,486,228.7,16.2,0.0085,,
1.989,487,229,16.3,0.0095,,
1.9975,488,229.3,16.3,0.0095,,
2.006,489,229.5,16.3,0.0085,,
2.0145,490,229.8,16.3,0.0085,,
2.023,491,230,16.3,0.0095,,
2.0305,492,230.4,16.3,0.0085,,
2.039,493,230.6,16.3,0.0095,,
2.0475,494,230.9,16.3,0.0095,,
2.0555,495,231.1,16.3,0.008,,
2.064,496,231.4,16.3,0.0085,,
2.0725,497,231.6,16.3,0.0085,,
2.08,498,231.8,16.3,0.0085,,
2.0885,499,232,16.3,0.0095,,
2.097,500,232.3,16.3,0.0085,,
2.1055,501,232.5,16.3,0.0085,,
2.114,502,232.8,16.3,0.0085,,
2.122,503,233,16.3,0.009,,
2.13,504,233.3,16.3,0.009,,
2.138,505,233.5,16.3,0.009,,
2.1465,506,233.8,16.3,0.0085,,
2.155,507,234,16.3,0.0085,,
2.163,508,234.3,16.3,0.008,,
2.165,509,234.4,16.3,0.002,,
2.165,510,234.5,16.3,0,,
2.1655,511,234.6,16.3,0.0005,,
2.167,512,234.5,16.3,0.0015,,
2.1685,513,234.7,16.3,0.0015,,
2.1715,514,234.7,16.3,0.003,,
2.175,515,234.7,16.3,0.0035,,
2.179,516,234.8,16.3,0.0045,,
2.1825,517,234.9,16.3,0.004,,
2.183,517,235,16.3,0.005,,
Scope 1/1, Sample 2/2 (TANK2),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,23.4,17.2,NaN,,
0.001,1,22.7,17.2,0.001,,
0.0025,2,22.6,17.2,0.0015,,
0.005,3,22.5,17.2,0.0025,,
0.0085,4,22.6,17.2,0.003,,
0.015,5,22.9,17.2,0.006,,
0.023,6,23.4,17.2,0.0075,,
0.0315,7,24.3,17.2,0.0075,,
0.04,8,25.4,17.2,0.0075,,
0.0485,9,26.4,17.2,0.007,,
0.056,10,27.4,17.2,0.007,,
0.0645,11,28.4,17.2,0.0075,,
0.073,12,29.4,17.2,0.0075,,
0.081,13,30,17.2,0.0075,,
0.0895,14,30.5,17.2,0.0075,,
0.098,15,31.1,17.2,0.0075,,
0.1055,16,31.7,17.2,0.007,,
0.114,17,32.2,17.2,0.0075,,
0.1225,18,32.9,17.2,0.0075,,
0.131,19,33.5,17.2,0.0075,,
0.1395,20,34,17.2,0.0075,,
0.1475,21,34.5,17.2,0.0065,,
0.1555,22,35.1,17.2,0.0075,,
0.1635,23,35.7,17.2,0.0075,,
0.172,24,36.3,17.2,0.0075,,
0.1805,25,36.9,17.2,0.0075,,
0.189,26,37.8,17.2,0.0075,,
0.1975,27,38.3,17.2,0.0075,,
0.2055,28,38.5,17.2,0.0075,,
0.2135,29,38.9,17.2,0.0075,,
0.2215,30,39.2,17.2,0.0075,,
0.23,31,39.7,17.2,0.0075,,
0.2385,32,40.2,17.2,0.0075,,
0.247,33,40.6,17.2,0.007,,
0.2545,34,41.1,17.2,0.007,,
0.263,35,41.7,17.2,0.0075,,
0.2715,36,42.1,17.2,0.0075,,
0.28,37,42.7,17.2,0.0075,,
0.2885,38,43.1,17.2,0.0075,,
0.2965,39,43.5,17.2,0.0065,,
0.3045,40,43.9,17.2,0.0075,,
0.313,41,44.3,17.2,0.0075,,
0.321,42,44.7,17.2,0.0075,,
0.3295,43,45.2,17.2,0.0075,,
0.338,44,45.9,17.2,0.0075,,
0.3455,45,46.5,17.2,0.007,,
0.354,46,47.3,17.2,0.0075,,
0.3625,47,47.7,17.2,0.0075,,
0.371,48,48.1,17.2,0.0075,,
0.3795,49,48.4,17.2,0.0075,,
0.3875,50,48.9,17.3,0.0075,,
0.396,51,49.1,17.2,0.0075,,
0.4035,52,49.3,17.3,0.007,,
0.412,53,49.6,17.3,0.0075,,
0.4205,54,50.3,17.3,0.0075,,
0.429,55,51.3,17.3,0.0075,,
0.4375,56,51.8,17.3,0.0075,,
0.445,57,52.1,17.3,0.007,,
0.4535,58,52.7,17.3,0.0075,,
0.462,59,53,17.3,0.0075,,
0.4705,60,53.7,17.3,0.0075,,
0.4785,61,54.2,17.3,0.0075,,
0.487,62,54.9,17.3,0.007,,
0.4945,63,55.2,17.3,0.007,,
0.503,64,55.4,17.3,0.0075,,
0.5115,65,56.2,17.3,0.0075,,
0.52,66,56.7,17.3,0.0075,,
0.5285,67,57.1,17.3,0.0075,,
0.537,68,57.4,17.3,0.0075,,
0.5445,69,58,17.3,0.007,,
0.553,70,58.4,17.3,0.0075,,
0.5615,71,58.9,17.3,0.0075,,
0.5695,72,59.3,17.3,0.0075,,
0.578,73,59.9,17.3,0.0075,,
0.5855,74,60.7,17.3,0.007,,
0.594,75,61.2,17.3,0.0075,,
0.6025,76,62,17.3,0.0075,,
0.611,77,62.6,17.3,0.0075,,
0.6195,78,62.9,17.3,0.0075,,
0.628,79,63.4,17.3,0.0075,,
0.6355,80,63.9,17.3,0.007,,
0.644,81,64.5,17.3,0.0075,,
0.6525,82,64.9,17.3,0.0075,,
0.6605,83,65.6,17.3,0.0075,,
0.669,84,66.1,17.3,0.0075,,
0.6775,85,66.4,17.3,0.0075,,
0.686,86,66.5,17.3,0.0075,,
0.6935,87,67.5,17.3,0.007,,
0.702,88,68,17.3,0.0075,,
0.7105,89,68.7,17.3,0.0075,,
0.7185,90,69.3,17.3,0.0075,,
0.727,91,69.8,17.3,0.0075,,
0.735,92,70.6,17.3,0.0075,,
0.743,93,71.3,17.3,0.0075,,
0.7515,94,71.8,17.3,0.0075,,
0.76,95,72.1,17.3,0.0075,,
0.7685,96,72.5,17.3,0.0075,,
0.777,97,73.4,17.3,0.0075,,
0.7845,98,73.8,17.3,0.007,,
0.793,99,74.2,17.3,0.0075,,
0.8015,100,74.6,17.3,0.0075,,
0.8095,101,75.2,17.3,0.0075,,
0.818,102,75.9,17.3,0.0075,,
0.8265,103,76.5,17.3,0.007,,
0.834,104,77.2,17.3,0.007,,
0.8425,105,77.7,17.3,0.0075,,
0.851,106,78.8,17.3,0.0075,,
0.8595,107,79.4,17.3,0.0075,,
0.868,108,80.3,17.3,0.0075,,
0.8765,109,81.1,17.3,0.007,,
0.884,110,81.5,17.3,0.007,,
0.8925,111,82.3,17.3,0.0075,,
0.9005,112,83.4,17.4,0.0075,,
0.909,113,84.3,17.4,0.0075,,
0.9175,114,85,17.4,0.0075,,
0.926,115,85.5,17.4,0.0075,,
0.9335,116,86.3,17.4,0.007,,
0.942,117,88,17.4,0.0075,,
0.9505,118,88.9,17.4,0.0075,,
0.959,119,89.5,17.4,0.0075,,
0.967,120,90.6,17.4,0.0075,,
0.9755,121,91.3,17.4,0.0075,,
0.983,122,92.2,17.4,0.007,,
0.9915,123,93.1,17.4,0.0075,,
1,124,94.5,17.4,0.0075,,
1.0085,125,95.7,17.4,0.0075,,
1.017,126,96.5,17.4,0.0075,,
1.0255,127,97.4,17.4,0.0075,,
1.033,128,98.5,17.4,0.007,,
1.0415,129,99.5,17.4,0.0075,,
1.05,130,100.2,17.4,0.0075,,
1.058,131,102.2,17.4,0.0075,,
1.0665,132,103.6,17.4,0.0075,,
1.074,133,104.4,17.4,0.007,,
1.0825,134,106.5,17.4,0.0075,,
1.091,135,107.8,17.4,0.0075,,
1.0995,136,109.4,17.4,0.0075,,
1.108,137,110.3,17.4,0.007,,
1.1165,138,112.6,17.4,0.0075,,
1.124,139,114,17.4,0.007,,
1.1325,140,116,17.4,0.0075,,
1.1405,141,117.8,17.4,0.0075,,
1.149,142,119.8,17.4,0.0075,,
1.1575,143,122.1,17.4,0.0075,,
1.166,144,124.7,17.4,0.0075,,
1.1735,145,127,17.4,0.007,,
1.182,146,129.9,17.4,0.0075,,
1.1905,147,133.1,17.4,0.0075,,
1.199,148,135.6,17.4,0.0075,,
1.207,149,139.2,17.4,0.0075,,
1.2155,150,142.6,17.4,0.0075,,
1.223,151,145.4,17.4,0.007,,
1.2315,152,148.3,17.4,0.0075,,
1.24,153,151.4,17.4,0.0075,,
1.2485,154,155,17.4,0.0075,,
1.257,155,158,17.4,0.0075,,
1.2655,156,161,17.4,0.007,,
1.273,157,163.3,17.4,0.007,,
1.2815,158,165.9,17.4,0.0075,,
1.2895,159,168.3,17.4,0.0075,,
1.298,160,170.7,17.4,0.0075,,
1.3065,161,173,17.4,0.0075,,
1.315,162,174.9,17.4,0.0075,,
1.3225,163,176.9,17.4,0.007,,
1.331,164,178.9,17.4,0.0075,,
1.3395,165,180.6,17.4,0.0075,,
1.348,166,182.3,17.4,0.0075,,
1.356,167,183.9,17.4,0.0075,,
1.364,168,185.2,17.4,0.008,,
1.364,408,192.9,17.7,0,,
1.3645,409,192.9,17.7,0.0005,,
1.366,410,192.9,17.7,0.001,,
1.3685,411,193,17.7,0.002,,
1.3725,412,193.2,17.7,0.003,,
1.379,413,193.6,17.7,0.005,,
1.3875,414,194.3,17.7,0.007,,
1.395,415,195.2,17.7,0.006,,
1.4035,416,196.2,17.7,0.007,,
1.412,417,196.9,17.7,0.0065,,
1.4205,418,197.9,17.7,0.0065,,
1.429,419,198.9,17.7,0.0065,,
1.4365,420,199.7,17.7,0.006,,
1.445,421,200.6,17.7,0.007,,
1.453,422,201.4,17.7,0.0065,,
1.4615,423,202.3,17.7,0.0065,,
1.47,424,202.9,17.7,0.0065,,
1.4785,425,203.8,17.7,0.0065,,
1.486,426,204.5,17.7,0.006,,
1.4945,427,205.2,17.7,0.007,,
1.503,428,206,17.7,0.007,,
1.5115,429,206.7,17.7,0.0065,,
1.52,430,207.4,17.7,0.0065,,
1.528,431,208.1,17.7,0.006,,
1.536,432,208.7,17.7,0.0065,,
1.544,433,209.2,17.7,0.0065,,
1.5525,434,210,17.7,0.007,,
1.561,435,210.5,17.7,0.0065,,
1.5695,436,211.1,17.7,0.0065,,
1.578,437,211.7,17.7,0.0065,,
1.5855,438,212.2,17.7,0.0065,,
1.594,439,212.7,17.7,0.007,,
1.6025,440,213.3,17.7,0.007,,
1.6105,441,213.9,17.7,0.006,,
1.619,442,214.3,17.7,0.0065,,
1.6275,443,214.9,17.7,0.0065,,
1.635,444,215.3,17.7,0.006,,
1.6435,445,215.8,17.7,0.007,,
1.652,446,216.3,17.7,0.0065,,
1.6605,447,216.8,17.8,0.0065,,
1.669,448,217.2,17.7,0.0065,,
1.677,449,217.8,17.7,0.006,,
1.685,450,218.2,17.7,0.0065,,
1.6935,451,218.6,17.7,0.007,,
1.7015,452,219,17.7,0.006,,
1.71,453,219.5,17.8,0.0065,,
1.7185,454,219.8,17.8,0.0065,,
1.726,455,220.3,17.8,0.006,,
1.7345,456,220.6,17.8,0.007,,
1.743,457,221,17.8,0.007,,
1.7515,458,221.5,17.8,0.0065,,
1.76,459,221.8,17.8,0.0065,,
1.768,460,222.2,17.8,0.006,,
1.7765,461,222.6,17.8,0.007,,
1.784,462,222.9,17.8,0.006,,
1.7925,463,223.3,17.8,0.007,,
1.801,464,223.7,17.8,0.0065,,
1.8095,465,224,17.8,0.0065,,
1.818,466,224.3,17.8,0.0065,,
1.8265,467,224.7,17.8,0.0065,,
1.834,468,224.9,17.8,0.006,,
1.8425,469,225.4,17.8,0.007,,
1.8505,470,225.7,17.8,0.006,,
1.859,471,226,17.8,0.0065,,
1.8675,472,226.2,17.8,0.0065,,
1.876,473,226.7,17.8,0.0065,,
1.8835,474,227,17.8,0.006,,
1.892,475,227.5,17.8,0.007,,
1.9005,476,227.6,17.8,0.007,,
1.909,477,228,17.8,0.0065,,
1.917,478,228.1,17.8,0.006,,
1.9255,479,228.5,17.8,0.007,,
1.933,480,228.8,17.8,0.006,,
1.9415,481,229.1,17.8,0.007,,
1.95,482,229.3,17.8,0.0065,,
1.9585,483,229.7,17.8,0.0065,,
1.967,484,229.9,17.8,0.0065,,
1.9755,485,230.3,17.8,0.0065,,
1.983,486,230.5,17.8,0.006,,
1.9915,487,230.7,17.8,0.007,,
1.9995,488,230.9,17.8,0.006,,
2.008,489,231.2,17.8,0.0065,,
2.0165,490,231.5,17.8,0.0065,,
2.025,491,231.8,17.8,0.0065,,
2.0325,492,232,17.8,0.006,,
2.041,493,232.3,17.8,0.007,,
2.0495,494,232.5,17.8,0.007,,
2.058,495,232.7,17.8,0.0065,,
2.066,496,233,17.8,0.006,,
2.0745,497,233.2,17.8,0.0065,,
2.082,498,233.5,17.8,0.006,,
2.0905,499,233.7,17.8,0.007,,
2.099,500,234,17.8,0.007,,
2.106,501,234.2,17.8,0.0055,,
2.11,502,234.4,17.8,0.003,,
2.112,503,234.6,17.8,0.0015,,
2.1125,504,234.6,17.8,0.0005,,
2.1135,505,234.7,17.8,0.001,,
2.1145,506,234.7,17.8,0.001,,
2.116,507,234.8,17.8,0.001,,
2.118,508,234.8,17.8,0.0015,,
2.1215,509,234.8,17.8,0.0025,,
2.126,510,234.9,17.8,0.0035,,
2.1295,511,235.1,17.8,0.004,,
